file_name,status,chars_before,chars_after,pct_removed,removed_header,removed_backmatter,removed_sections,removed_boilerplate,sections_removed,doi,journal,internal_title,title_similarity,title_mismatch,note
Altered disc compression in children with idiopath.txt,cleaned,28561,19902,30.32,2331,5162,0,1167,,10.1097/BRS.0000000000000114,Spine (Phila Pa 1976),Altered Disc Compression in Children with Idiopathic Low Back Pain: An Upright MRI Backpack Study,0.9,False,
Spaceflightinduced bone loss alters failure mode a.txt,cleaned,49031,34667,29.3,1252,10842,0,2271,,10.1002/jor.23029,J Orthop Res,Spaceflight-Induced Bone Loss Alters Failure Mode and Reduces Bending Strength in Murine Spinal Segments,1.0,False,
Spaceflightassociated vascular remodeling and gene.txt,cleaned,48792,32153,34.1,2600,11688,0,2352,,10.3389/fphys.2022.893025,Front Physiol,Spaceflight-Associated Vascular Remodeling and Gene Expression in Mouse Calvaria,1.0,False,
Exposure of Mycobacterium marinum to lowshear mode.txt,cleaned,81026,59807,26.19,3709,13609,0,3902,,10.1038/npjmgrav.2016.38,NPJ Microgravity,"Exposure of Mycobacterium marinum to low-shear modeled microgravity: effect on growth, the transcriptome and survival under stress",1.0,False,
Effects of mechanostimulation on gravitropism and .txt,cleaned,35448,22655,36.09,755,9770,0,2269,,10.4161/psb.6.9.16601,Plant Signal Behav,Effects of mechanostimulation on gravitropism and signal persistence in flax roots,1.0,False,
Oxygen dependency of germinating Brassica seeds.txt,excluded_title_mismatch,73772,0,100.0,2430,26506,616,4226,Funding|Data availability,10.1016/j.heliyon.2023.e14403,Heliyon,Amelioration of the physio-biochemical responses to salinity stress and computing the primary germination index components in cauliflower on seed priming,0.263,True,"título divergente (sim=0.26): metadata diz 'Oxygen dependency of germinating Brassic', documento é 'Amelioration of the physio-biochemical r'"
Desiccation mitigates heat stress in the resurrect.txt,cleaned,79582,50404,36.66,1534,22357,882,4406,Data availability|Author contributions|Competing interests|Footnotes|Supplementary,10.3389/fpls.2020.597731,Front Plant Sci,"Desiccation Mitigates Heat Stress in the Resurrection Fern, Pleopeltis polypodioides",1.0,False,
Transcription profile of auxin related genes durin.txt,cleaned,54322,33219,38.85,1225,15457,584,3838,Author contributions|Data availability|Funding|Footnotes,10.3390/plants11091191,Plants (Basel),Transcription Profile of Auxin Related Genes during Positively Gravitropic Hypocotyl Curvature of Brassica rapa,1.0,False,
Highgradient magnetic fields and starch metabolism.txt,cleaned,58518,36329,37.92,2119,16095,143,3833,Supplementary,10.1038/s41598-022-22691-2,Sci Rep,High-gradient magnetic fields and starch metabolism: results from a space experiment,1.0,False,
Lipid rafts and plant gravisensitivity.txt,cleaned,66866,28738,57.02,1246,30076,561,6246,Author contributions|Data availability|Funding|Footnotes,10.3390/life12111809,Life (Basel),Lipid Rafts and Plant Gravisensitivity,1.0,False,
Expression and characterization of the bacterial m.txt,excluded_title_mismatch,44542,0,100.0,983,11445,88,3231,Supplementary,10.1073/pnas.1213931109,Proc Natl Acad Sci U S A,MscS-Like10 is a stretch-activated ion channel from Arabidopsis thaliana with a preference for anions,0.278,True,"título divergente (sim=0.28): metadata diz 'Expression and characterization of the b', documento é 'MscS-Like10 is a stretch-activated ion c'"
United in Diversity Mechanosensitive Ion Channels .txt,excluded_title_mismatch,167417,0,100.0,2880,75001,0,4715,,10.7554/eLife.33285,eLife,The signaling lipid sphingosine 1-phosphate regulates mechanical pain,0.299,True,"título divergente (sim=0.30): metadata diz 'United in Diversity: Mechanosensitive Io', documento é 'The signaling lipid sphingosine 1-phosph'"
Expressing and Characterizing Mechanosensitive Cha.txt,cleaned,48242,20927,56.62,924,24428,0,1964,,10.1007/978-1-4939-2697-8_13,Methods Mol Biol,Expressing and Characterizing Mechanosensitive Channels in Xenopus Oocytes,1.0,False,
The ongoing search for the molecular basis of plan.txt,cleaned,33066,23130,30.05,1164,7067,0,1706,,10.1085/jgp.201411295,J Gen Physiol,The ongoing search for the molecular basis of plant osmosensing,1.0,False,
Plastid osmotic stress influences cell differentia.txt,cleaned,72189,45478,37.0,1289,20892,0,4531,,10.1242/dev.136234,Development,Plastid osmotic stress influences cell differentiation at the plant shoot apex,1.0,False,
Spaceflightinduced synaptic modifications within h.txt,cleaned,97745,79855,18.3,2534,12105,423,2829,Author contributions,10.1152/jn.00240.2016,J Neurophysiol,Spaceflight-induced synaptic modifications within hair cells of the mammalian utricle,1.0,False,
Effects of angular frequency during clinorotation .txt,cleaned,50774,36266,28.57,1702,10384,0,2423,,10.1038/npjmgrav.2015.7,NPJ Microgravity,Effects of angular frequency during clinorotation on mesenchymal stem cell morphology and migration,1.0,False,
The role of FGF2 and BMP2 in regulation of gene in.txt,cleaned,36410,24465,32.81,1787,7829,552,1778,Competing interests|Contributor Information,10.1186/1749-799X-6-8,J Orthop Surg Res,"The role of FGF-2 and BMP-2 in regulation of gene induction, cell proliferation and mineralization",1.0,False,
Nutritional supplements COX2 and IGF1 expression i.txt,excluded_title_mismatch,49493,0,100.0,3341,12832,0,2197,,10.1007/s10552-010-9684-5,Cancer Causes Control,"Nutritional supplements, COX -",0.462,True,"título divergente (sim=0.46): metadata diz 'Nutritional supplements, COX-2 and IGF-1', documento é 'Nutritional supplements, COX -'"
Hyperoxia inhibits T cell activation in mice.txt,excluded_title_mismatch,82975,0,100.0,2395,15614,1308,4148,Funding,10.1016/j.redox.2024.103370,Redox Biol,Over-activation of iNKT cells aggravate lung injury in bronchopulmonary dysplasia mice,0.31,True,"título divergente (sim=0.31): metadata diz 'Hyperoxia inhibits T cell activation in ', documento é 'Over-activation of iNKT cells aggravate '"
Effects of gravitational mechanical unloading in e.txt,cleaned,49564,33662,32.08,2278,10380,369,2876,Author contributions,10.1038/srep01494,Sci Rep,"Effects of Gravitational Mechanical Unloading in Endothelial Cells: Association between Caveolins, Inflammation and Adhesion Molecules",1.0,False,
n3 Polyunsaturated fatty acids supplementation in .txt,excluded_title_mismatch,53809,0,100.0,4166,11374,159,2647,Supplementary,10.1016/j.jss.2019.01.038,J Surg Res,Fish Oil Increases Specialized Pro-resolving Lipid Mediators in PAD (The OMEGA-PAD II Trial),0.36,True,"título divergente (sim=0.36): metadata diz 'n-3 Polyunsaturated fatty acids suppleme', documento é 'Fish Oil Increases Specialized Pro-resol'"
Molecular mechanisms underlying the enhanced funct.txt,cleaned,59902,39837,33.5,1501,15180,73,3312,Supplementary,10.1016/j.biomaterials.2013.11.063,Biomaterials,Molecular mechanisms underlying the enhanced functions of three-dimensional hepatocyte aggregates,1.0,False,
Spaceflight alters expression of microRNA during T.txt,cleaned,43195,30738,28.84,2297,8389,0,1772,,10.1096/fj.15-277392,FASEB J,Spaceflight alters expression of microRNA during T-cell activation,1.0,False,
Spaceflight impairs antigenspecific tolerance indu.txt,cleaned,67508,55133,18.33,2070,8166,226,1914,Supplementary,10.1096/fj.15-275073,FASEB J,Spaceflight impairs antigen-specific tolerance induction in vivo and increases inflammatory cytokines,1.0,False,
From cellular mechanotransduction to biologically .txt,cleaned,79778,62935,21.11,1502,12553,0,2789,,10.1007/s10439-010-9946-0,Ann Biomed Eng,"From Cellular Mechanotransduction to Biologically Inspired Engineering 2009 Pritzker Award Lecture, BMES Annual Meeting October 10, 2009",1.0,False,
Crewmember microbiome may influence microbial comp.txt,cleaned,75855,47211,37.76,5127,20273,0,3245,,10.1371/journal.pone.0231838,PLoS One,Crewmember microbiome may influence microbial composition of ISS habitable surfaces,1.0,False,
Sierra Nevada sweep Metagenomic measurements of bi.txt,cleaned,59810,42037,29.72,3251,11858,65,2600,Supplementary|Supplementary,10.1038/s41598-020-69188-4,Sci Rep,Sierra Nevada sweep: metagenomic measurements of bioaerosols vertically distributed across the troposphere,1.0,False,
Draft Genome Sequences of Fungi Isolated from the .txt,cleaned,33738,18194,46.07,3060,10126,306,2053,Data availability,10.1128/MRA.00751-21,Microbiol Resour Announc,Draft Genome Sequences of Fungi Isolated from the International Space Station during the Microbial Tracking-2 Experiment,1.0,False,
Microbial tracking2 a metagenomics analysis of bac.txt,cleaned,80325,48292,39.88,3543,20366,4696,3429,Supplementary|Supplementary,10.1186/s40168-022-01293-0,Microbiome,"Microbial Tracking-2, a metagenomics analysis of bacteria and fungi onboard the International Space Station",1.0,False,
Detection of Target Genes for Drug Repurposing to .txt,cleaned,64243,43902,31.66,2216,14959,0,3167,,10.3390/genes13030473,Genes (Basel),Detection of Target Genes for Drug Repurposing to Treat Skeletal Muscle Atrophy in Mice Flown in Spaceflight,1.0,False,
Release of CD36associated cellfree mitochondrial D.txt,cleaned,81034,53917,33.46,3606,18564,407,4541,Supplementary|Supplementary,10.1038/s41467-023-41995-z,Nat Commun,Release of CD36-associated cell-free mitochondrial DNA and RNA as a hallmark of space environment response,1.0,False,
Increasing the number of unloadingreambulation cyc.txt,cleaned,46301,29926,35.37,1478,12526,0,2372,,10.1016/j.actaastro.2012.04.003,Acta Astronaut,Increasing the Number of Unloading/Reambulation Cycles does not Adversely Impact Body Composition and Lumbar Bone Mineral Density but Reduces Tissue Sensitivity,0.989,False,
Bone shaft bending strength index is unaffected by.txt,cleaned,30064,18564,38.25,1279,8493,0,1729,,10.1111/joa.12277,J Anat,Bone shaft bending strength index is unaffected by exercise and unloading in mice,0.994,False,
Focal enhancement of the skeleton to exercise corr.txt,cleaned,47729,32885,31.1,1999,10564,0,2282,,10.1242/jeb.118729,J Exp Biol,Focal enhancement of the skeleton to exercise correlates with responsivity of bone marrow mesenchymal stem cells rather than peak external forces,0.756,False,
Cytoskeletal configuration modulates mechanically .txt,cleaned,60127,41407,31.13,1575,13688,81,3377,Supplementary|Supplementary,10.1038/srep34791,Sci Rep,"Cytoskeletal Configuration Modulates Mechanically Induced Changes in Mesenchymal Stem Cell Osteogenesis, Morphology, and Stiffness",1.0,False,
Genetic and tissue level musclebone interactions d.txt,cleaned,39638,25813,34.88,1473,9671,272,2410,Author contributions,,J Musculoskelet Neuronal Interact,Genetic and tissue level muscle-bone interactions during unloading and reambulation,1.0,False,
Osteocyte apoptosis caused by hindlimb unloading i.txt,cleaned,53704,33912,36.85,2027,14447,0,3319,,10.1002/jbmr.2807,J Bone Miner Res,Osteocyte Apoptosis Caused by Hindlimb Unloading is Required to Trigger Osteocyte RANKL Production and Subsequent Resorption of Cortical and Trabecular Bone in Mice Femurs,1.0,False,
Differential Single Cell Responses of Embryonic St.txt,cleaned,45211,30723,32.05,1923,9866,72,2628,Supplementary,10.1089/scd.2022.0037,Stem Cells Dev,Differential Single Cell Responses of Embryonic Stem Cells Versus Embryoid Bodies to Gravity Mechanostimulation,1.0,False,
Macrophages inhibit Aspergillus fumigatus germinat.txt,cleaned,104169,70862,31.97,3687,25089,0,4532,,10.1371/journal.ppat.1007229,PLoS Pathog,Macrophages inhibit Aspergillus fumigatus germination and neutrophil-mediated fungal killing,1.0,False,
Contributions of spore secondary metabolites to UV.txt,cleaned,60972,33011,45.86,4837,19387,0,3738,,10.1128/mBio.03415-19,mBio,Contributions of Spore Secondary Metabolites to UV-C Protection and Virulence Vary in Different Aspergillus fumigatus Strains,1.0,False,
Regulation of hemocytes in Drosophila requires dap.txt,cleaned,68975,45836,33.55,1681,17273,0,4186,,10.1007/s10528-010-9411-7,Biochem Genet,Regulation of Hemocytes in Drosophila Requires dappled Cytochrome b5,1.0,False,
A novel phototropic response to red light is revea.txt,excluded_title_mismatch,58123,0,100.0,1454,11738,395,2944,Supplementary,10.1007/s00425-016-2581-8,Planta,A novel blue-light phototropic response is revealed in roots of Arabidopsis thaliana in microgravity,0.591,True,"título divergente (sim=0.59): metadata diz 'A novel phototropic response to red ligh', documento é 'A novel blue-light phototropic response '"
Plant cell proliferation and growth are altered by.txt,excluded_title_mismatch,111242,0,100.0,1672,13929,0,3088,,10.1016/j.isci.2022.104687,iScience,Recent transcriptomic studies to elucidate the plant adaptive response to spaceflight and to simulated space environments,0.313,True,"título divergente (sim=0.31): metadata diz 'Plant cell proliferation and growth are ', documento é 'Recent transcriptomic studies to elucida'"
Phototropism of Arabidopsis thaliana in microgravi.txt,excluded_title_mismatch,58123,0,100.0,1454,11738,395,2944,Supplementary,10.1007/s00425-016-2581-8,Planta,A novel blue-light phototropic response is revealed in roots of Arabidopsis thaliana in microgravity,0.467,True,"título divergente (sim=0.47): metadata diz 'Phototropism of Arabidopsis thaliana in ', documento é 'A novel blue-light phototropic response '"
Light and gravity signals synergize in modulating .txt,cleaned,133693,79058,40.87,1761,0,43181,9694,Author contributions|Competing interests|Acknowledgments|References,10.3389/fpls.2014.00563,Front Plant Sci,Light and gravity signals synergize in modulating plant development,1.0,False,
A novel bluelight phototropic response is revealed.txt,cleaned,58123,41593,28.44,1454,11738,395,2944,Supplementary,10.1007/s00425-016-2581-8,Planta,A novel blue-light phototropic response is revealed in roots of Arabidopsis thaliana in microgravity,1.0,False,
Comparative transcriptomics indicate changes in ce.txt,cleaned,81353,58123,28.55,1844,17714,209,3464,Supplementary,10.3732/ajb.1700079,Am J Bot,Comparative transcriptomics indicate changes in cell wall organization and stress response in seedlings during spaceflight,1.0,False,
RNAseq analysis of the response of Arabidopsis tha.txt,cleaned,58109,38304,34.08,2795,12614,1563,2834,Data availability|Author contributions|Funding|Competing interests,10.3389/fpls.2019.01529,Front Plant Sci,RNAseq Analysis of the Response of Arabidopsis thaliana to Fractional Gravity Under Blue-Light Stimulation During Spaceflight,1.0,False,
Comparison of Microgravity Analogs to Spaceflight .txt,cleaned,54724,32040,41.45,2990,15758,608,3329,Author contributions|Funding|Competing interests,10.3389/fpls.2019.01577,Front Plant Sci,Comparison of Microgravity Analogs to Spaceflight in Studies of Plant Growth and Development,1.0,False,
The importance of Earth reference controls in spac.txt,cleaned,57872,38312,33.8,1901,14684,0,2976,,10.1016/j.isci.2020.101686,iScience,The Importance of Earth Reference Controls in Spaceflight -Omics Research: Characterization of Nucleolin Mutants from the Seedling Growth Experiments,0.989,False,
Conducting plant experiments in space and on the M.txt,excluded_title_mismatch,49414,0,100.0,2638,12824,369,2397,Supplementary,10.1038/s41598-023-49680-3,Sci Rep,Effects of altered gravity on growth and morphology in Wolffia globosa implications for bioregenerative life support systems and space-based agriculture,0.224,True,"título divergente (sim=0.22): metadata diz 'Conducting plant experiments in space an', documento é 'Effects of altered gravity on growth and'"
Red light enhances plant adaptation to spaceflight.txt,cleaned,79036,53552,32.24,1385,20302,0,3798,,10.3390/life12101484,Life (Basel),Red Light Enhances Plant Adaptation to Spaceflight and Mars g -Levels,0.993,False,
EUK134 ameliorates nNOSµ translocation and skeleta.txt,cleaned,61192,45224,26.09,2865,9838,473,2793,Author contributions,10.1152/ajpregu.00371.2013,Am J Physiol Regul Integr Comp Physiol,EUK-134 ameliorates nNOSμ translocation and skeletal muscle fiber atrophy during short-term mechanical unloading,1.0,False,
MnSOD Overexpression Reduces Fibrosis and ProApopt.txt,cleaned,50717,46133,9.04,2278,0,0,2307,,10.1093/gerona/glu090,J Gerontol A Biol Sci Med Sci,MnSOD Overexpression Reduces Fibrosis and Pro-Apoptotic Signaling in the Aging Mouse Heart,1.0,False,
Lifelong wheel running exercise and mild caloric r.txt,cleaned,44131,32025,27.43,1811,8608,0,1688,,10.1016/j.exger.2015.06.007,Exp Gerontol,Lifelong Wheel Running Exercise and Mild Caloric Restriction Attenuate Nuclear EndoG in the Aging Plantaris Muscle,1.0,False,
Agerelated alterations in the sarcolemmal environm.txt,cleaned,72729,48184,33.75,1734,19419,0,3393,,10.1016/j.exger.2016.08.006,Exp Gerontol,Age-related alterations in the sarcolemmal environment are attenuated by lifelong caloric restriction and voluntary exercise,1.0,False,
The impact of SRT2104 on skeletal muscle mitochond.txt,cleaned,58078,35683,38.56,4738,12652,1878,3128,Supplementary|Author contributions|Data availability|Funding|Footnotes,10.3390/ijms241311135,Int J Mol Sci,"The Impact of SRT2104 on Skeletal Muscle Mitochondrial Function, Redox Biology, and Loss of Muscle Mass in Hindlimb Unloaded Rats",1.0,False,
Bioreactor development for skeletal muscle hypertr.txt,cleaned,63423,40349,36.38,2340,16665,58,4012,Supplementary,10.1038/s41526-023-00320-0,NPJ Microgravity,Bioreactor development for skeletal muscle hypertrophy and atrophy by manipulating uniaxial cyclic strain: proof of concept,1.0,False,
Genomic and phenotypic characterization of Burkhol.txt,excluded_title_mismatch,81413,0,100.0,2565,18079,2458,4167,Funding,10.1016/j.bioflm.2023.100108,Biofilm,Microbial isolation and characterization from two flex lines from the urine processor assembly onboard the international space station,0.533,True,"título divergente (sim=0.53): metadata diz 'Genomic and phenotypic characterization ', documento é 'Microbial isolation and characterization'"
CAMDLES CFDDEM Simulation of Microbial Communities.txt,flagged,71270,68027,4.55,0,0,0,3244,,10.3390/life12050660,Life (Basel),CAMDLES: CFD-DEM Simulation of Microbial Communities in Spaceflight and Artificial Microgravity,1.0,False,S1: corte agressivo revertido (restariam 14% do original); apenas R6 aplicado
Hardware validation of the Advanced Plant Habitat .txt,cleaned,70876,58168,17.93,2371,7872,938,1528,Data availability|Author contributions|Competing interests,10.3389/fpls.2020.00673,Front Plant Sci,Hardware Validation of the Advanced Plant Habitat on ISS: Canopy Photosynthesis in Reduced Gravity,1.0,False,
Trimeric structure of pinoresinolforming dirigent .txt,cleaned,55785,41559,25.5,2565,9437,0,2225,,10.1074/jbc.M114.611780,J Biol Chem,Trimeric Structure of (+)-Pinoresinol-forming Dirigent Protein at 1.95 Å Resolution with Three Isolated Active Sites *,0.978,False,
New insights into lignification via network and mu.txt,cleaned,97210,73452,24.44,4104,13744,2044,3867,Data availability|Author contributions|Competing interests|Supplementary,10.3389/fpls.2021.664250,Front Plant Sci,New Insights Into Lignification via Network and Multi-Omics Analyses of Arogenate Dehydratase Knock-Out Mutants in Arabidopsis thaliana,1.0,False,
Functional consequences of radiationinduced oxidat.txt,cleaned,64252,47645,25.85,2628,10553,524,2903,Supplementary,10.1089/ars.2012.5134,Antioxid Redox Signal,Functional Consequences of Radiation-Induced Oxidative Stress in Cultured Neural Stem Cells and the Brain Exposed to Charged Particle Irradiation,1.0,False,
Exploration of space to achieve scientific breakth.txt,excluded_title_mismatch,43564,0,100.0,1141,0,13844,2774,Acknowledgments|Funding|Footnotes|Data availability|Author contributions|Competing interests|References|Data availability,10.3389/ti.2025.14565,Transpl Int,The Last Mile in Beta-Cell Replacement Therapy for Type 1 Diabetes: Time to Grow Up,0.234,True,"título divergente (sim=0.23): metadata diz 'Exploration of space to achieve scientif', documento é 'The Last Mile in Beta-Cell Replacement T'"
Network Analysis of Gene Transcriptions of Arabido.txt,cleaned,60225,43742,27.37,2034,11736,0,2714,,10.3390/genes12030337,Genes (Basel),Network Analysis of Gene Transcriptions of Arabidopsis thaliana in Spaceflight Microgravity,1.0,False,
Detection of Genes in Arabidopsis thaliana L Respo.txt,flagged,71648,68494,4.4,0,0,0,3155,,10.3390/genes12060938,Genes (Basel),Detection of Genes in Arabidopsis thaliana L. Responding to DNA Damage from Radiation and Other Stressors in Spaceflight,1.0,False,S1: corte agressivo revertido (restariam 31% do original); apenas R6 aplicado
The Effect of spaceflight on mouse olfactory bulb .txt,cleaned,81910,51845,36.7,2430,21972,510,5154,Author contributions,10.1152/japplphysiol.01174.2013,J Appl Physiol (1985),"The effect of spaceflight on mouse olfactory bulb volume, neurogenesis, and cell death indicates the protective effect of novel environment",1.0,False,
Effects of lowdose rate Œirradiation combined with.txt,cleaned,75538,42563,43.65,5434,24223,0,3319,,10.1371/journal.pone.0180594,PLoS One,"Effects of low-dose rate γ-irradiation combined with simulated microgravity on markers of oxidative stress, DNA methylation potential, and remodeling in the mouse heart",1.0,False,
Characterization of mouse ocular response to a 35d.txt,cleaned,65033,47050,27.65,4647,10500,98,2739,Supplementary,10.1038/s41598-019-44696-0,Sci Rep,Characterization of mouse ocular response to a 35-day spaceflight mission: Evidence of blood-retinal barrier disruption and ocular adaptations,1.0,False,
Mice Exposed to Combined Chronic LowDose Irradiati.txt,cleaned,55404,36677,33.8,3468,12364,0,2896,,10.3390/ijms20174094,Int J Mol Sci,Mice Exposed to Combined Chronic Low-Dose Irradiation and Modeled Microgravity Develop Long-Term Neurological Sequelae,1.0,False,
Spaceflight influences gene expression photorecept.txt,cleaned,64851,42059,35.15,4295,14734,226,3538,Supplementary,10.1038/s41598-019-49453-x,Sci Rep,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",1.0,False,
Evaluating ocular response in the retina and optic.txt,cleaned,46053,31242,32.16,2148,10650,0,2014,,10.3390/life11080849,Life (Basel),Evaluating Ocular Response in the Retina and Optic Nerve Head after Single and Fractionated High-Energy Protons,1.0,False,
Characterization of gene expression profiles in th.txt,cleaned,70636,43128,38.94,2647,19519,81,5262,Supplementary,10.1038/s41526-022-00217-4,NPJ Microgravity,Characterization of gene expression profiles in the mouse brain after 35 days of spaceflight mission,1.0,False,
A multiomics longitudinal study of the murine reti.txt,cleaned,74888,53274,28.86,2420,15060,112,4023,Supplementary,10.1038/s41598-022-19360-9,Sci Rep,A multi-omics longitudinal study of the murine retinal response to chronic low-dose irradiation and simulated microgravity,1.0,False,
Evidence of spaceflightinduced adverse effects on .txt,cleaned,56224,35534,36.8,1877,15674,0,3140,,10.3390/ijms24087362,Int J Mol Sci,Evidence of Spaceflight-Induced Adverse Effects on Photoreceptors and Retinal Function in the Mouse Eye,1.0,False,
Effects of spaceflight on the brain.txt,excluded_title_mismatch,52278,0,100.0,2641,3850,1268,1463,Author contributions|Funding|Data availability|Competing interests|Footnotes|Contributor Information,10.1007/s00221-025-07090-z,Exp Brain Res,Disturbances in human position sense during alterations in gravity: a parabolic flight experiment,0.272,True,"título divergente (sim=0.27): metadata diz 'Effects of spaceflight on the brain', documento é 'Disturbances in human position sense dur'"
Routine omics collection is a golden opportunity f.txt,cleaned,113328,63697,43.79,5066,37269,0,7297,,10.1016/j.patter.2022.100550,Patterns (N Y),Routine omics collection is a golden opportunity for European human research in space and analog environments,1.0,False,
Spatial omics technologies at multimodal and singl.txt,flagged,82891,76876,7.26,0,0,0,6016,,10.1186/s13059-022-02824-6,Genome Biol,Spatial omics technologies at multimodal and single cell/subcellular level,1.0,False,S1: corte agressivo revertido (restariam 3% do original); apenas R6 aplicado
Genomic characterization and radiation tolerance o.txt,cleaned,122729,65368,46.74,5114,37612,9139,5497,Supplementary|Supplementary,10.1186/s43008-023-00119-4,IMA Fungus,Genomic characterization and radiation tolerance of Naganishia kalamii sp. nov. and Cystobasidium onofrii sp. nov. from Mars 2020 mission assembly facilities,1.0,False,
Genome and clonal hematopoiesis stability contrast.txt,cleaned,90347,56391,37.58,8913,20418,1161,3465,Competing interests|Supplementary,10.1093/pcmedi/pbae007,Precis Clin Med,"Genome and clonal hematopoiesis stability contrasts with immune, cfDNA, mitochondrial, and telomere length changes during short duration spaceflight",1.0,False,
Molecular and physiologic changes in the SpaceX In.txt,cleaned,123607,69004,44.17,16614,17112,16218,4660,Supplementary|Supplementary|Supplementary,10.1038/s41586-024-07648-x,Nature,Molecular and physiological changes in the SpaceX Inspiration4 civilian crew,0.987,False,
Telomeric RNA TERRA increases in response to space.txt,cleaned,95197,58286,38.77,7242,23281,371,6018,Supplementary|Supplementary,10.1038/s42003-024-06014-x,Commun Biol,Telomeric RNA (TERRA) increases in response to spaceflight and high-altitude climbing,1.0,False,
Spatial multiomics of human skin reveals KRAS and .txt,cleaned,84486,53235,36.99,6548,19890,361,4453,Supplementary|Supplementary,10.1038/s41467-024-48625-2,Nat Commun,Spatial multi-omics of human skin reveals KRAS and inflammatory responses to spaceflight,1.0,False,
Longitudinal multiomics analysis of host microbiom.txt,cleaned,105429,68968,34.58,9201,21226,1466,4569,Supplementary|Supplementary,10.1038/s41564-024-01635-8,Nat Microbiol,Longitudinal multi-omics analysis of host microbiome architecture and immune responses during short-term spaceflight,1.0,False,
Spatiotemporal expression and control of haemoglob.txt,cleaned,86040,58809,31.65,5457,17977,129,3669,Supplementary,10.1038/s41467-024-49289-8,Nat Commun,Spatiotemporal expression and control of haemoglobin in space,1.0,False,
Singlecell multiome and immune profiles of the Ins.txt,cleaned,123396,77710,37.02,17026,22741,297,5623,Supplementary|Supplementary,10.1038/s41467-024-49211-2,Nat Commun,"Single-cell multi-ome and immune profiles of the Inspiration4 crew reveal conserved, cell-type, and sex-specific responses to spaceflight",1.0,False,
Singlecell analysis identifies conserved features .txt,cleaned,147739,110223,25.39,7793,23417,932,5375,Supplementary|Supplementary,10.1038/s41467-023-42013-y,Nat Commun,Single-cell analysis identifies conserved features of immune dysfunction in simulated microgravity and spaceflight,1.0,False,
The Space Omics and Medical Atlas SOMA and interna.txt,cleaned,108153,84723,21.66,0,17321,1907,4203,Supplementary|Supplementary,10.1038/s41586-024-07639-y,Nature,The Space Omics and Medical Atlas (SOMA) and international astronaut biobank,1.0,False,
Secretome profiling reveals acute changes in oxida.txt,cleaned,102525,60068,41.41,10810,25537,164,5947,Supplementary|Supplementary,10.1038/s41467-024-48841-w,Nat Commun,"Secretome profiling reveals acute changes in oxidative stress, brain homeostasis, and coagulation following short-duration spaceflight",1.0,False,
Cosmic kidney disease an integrated panomic physio.txt,cleaned,130803,94390,27.84,0,30363,695,5356,Supplementary|Supplementary,10.1038/s41467-024-49212-1,Nat Commun,"Cosmic kidney disease: an integrated pan-omic, physiological and morphological study into spaceflight-induced renal dysfunction",1.0,False,
Spaceflight induces changes in gene expression pro.txt,cleaned,106834,70584,33.93,8241,22205,249,5556,Supplementary,10.1038/s42003-023-05213-2,Commun Biol,Spaceflight induces changes in gene expression profiles linked to insulin and estrogen,1.0,False,
Protective alleles and precision healthcare in cre.txt,cleaned,95545,51359,46.25,6907,30196,285,6799,Supplementary,10.1038/s41467-024-49423-6,Nat Commun,Protective alleles and precision healthcare in crewed spaceflight,1.0,False,
Growth chambers on the International Space Station.txt,excluded_title_mismatch,66372,0,100.0,2496,10720,0,2083,,10.3390/plants13010073,Plants (Basel),Bread Wheat in Space Flight: Is There a Difference in Kernel Quality?,0.358,True,"título divergente (sim=0.36): metadata diz 'Growth chambers on the International Spa', documento é 'Bread Wheat in Space Flight: Is There a '"
Microbiological and nutritional analysis of lettuc.txt,cleaned,83264,55595,33.23,2632,19982,827,4229,Data availability|Author contributions|Competing interests,10.3389/fpls.2020.00199,Front Plant Sci,Microbiological and Nutritional Analysis of Lettuce Crops Grown on the International Space Station,1.0,False,
Natural variation in the expression of ORGANIC CAT.txt,cleaned,51432,36902,28.25,1619,10378,0,2534,,10.1093/jxb/eru444,J Exp Bot,Natural variation in the expression of ORGANIC CATION TRANSPORTER 1 affects root length responses to cadaverine in Arabidopsis,1.0,False,
Auxin Shape matters.txt,excluded_title_mismatch,67794,0,100.0,3815,12991,313,2627,Funding|Competing interests,10.1016/j.heliyon.2019.e02221,Heliyon,"Turbidity matters: differential effect of a 2,4-D formulation on the structure of microbial communities from clear and turbid freshwater systems",0.183,True,"título divergente (sim=0.18): metadata diz 'Auxin: Shape matters.', documento é 'Turbidity matters: differential effect o'"
Gravity signaling in flowering plant roots.txt,excluded_title_mismatch,92222,0,100.0,3730,13879,309,3687,Supplementary|Supplementary,10.1038/s41467-025-59047-z,Nat Commun,Mechanosensing antagonizes ethylene signaling to promote root gravitropism in rice,0.419,True,"título divergente (sim=0.42): metadata diz 'Gravity signaling in flowering plant roo', documento é 'Mechanosensing antagonizes ethylene sign'"
Cadaverine regulates biotin synthesis to modulate .txt,cleaned,88048,58217,33.88,2380,20352,3716,3384,Author contributions|Competing interests,10.1111/tpj.15417,Plant J,Cadaverine regulates biotin synthesis to modulate primary root growth in Arabidopsis,1.0,False,
